通し番号,品番,商品ID,商品名,タイトル,仕入個数,在庫数,棚卸,仕入日
"37,401",A522530066656,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/14
"37,233",A627006568904,4902370548440 ,HAC-P-AYL8A,メトロイド ドレッド [Nintendo Switch] ,1,1,,2021/12/13
"36,541",A522528414004,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/12/6
"36,462",210518XJS215B134,4549980278123 ,SD-MT3,パナソニック SD-MT3 [ホームベーカリー (1斤タイプ)],1,1,,2021/12/6
"36,087",A0120211006116623,4988602174106 ,RL007-J1,コナミ 遊戯王ラッシュデュエル 最強バトルロイヤル！！ [Nintendo Switch] ,1,1,,2021/12/1
"36,128",A0120211105106723,4534530132086 ,ANPX-45003,鬼滅の刃 ヒノカミ血風譚 [フィギュアマルチスタンド付き数量限定版] [PS4] ,1,1,,2021/12/1
"36,126",A0120211105106853,4534530132086 ,ANPX-45003,鬼滅の刃 ヒノカミ血風譚 [フィギュアマルチスタンド付き数量限定版] [PS4] ,1,1,,2021/12/1
"36,122",A065707213317,4549576167718 ,Xbox Series S,マイクロソフト Xbox Series S  RRS-00015 [ゲーム機本体],1,1,,2021/12/1
"36,118",A0120211007108856,4582528466576 ,ELJS-20006,バンダイナムコエンターテインメント テイルズ オブ アライズ [通常版] [PS5] ,1,1,,2021/12/1
"36,112",A0120211007108870,4948872015998 ,ECJS-00008,SIE ラチェット&クランク パラレル・トラブル [PS5] ,1,1,,2021/12/1
"36,091",A0120211013107997,4582528466552 ,PLJS-36173,テイルズ オブ アライズ [PS4] ,1,1,,2021/12/1
"35,988",DA0697054292,4902370549027 ,HAC-P-ZAADA,ポケットモンスター ブリリアントダイヤモンド・シャイニングパール ダブルパック [Switch] ,1,1,,2021/11/30
"35,957",B626133417954,4902370549027 ,HAC-P-ZAADA,ポケットモンスター ブリリアントダイヤモンド・シャイニングパール ダブルパック [Switch] ,1,1,,2021/11/30
"35,529",I283493784221,4902370549003 ,HAC-P-AX7RA,ポケットモンスター シャイニングパール [Nintendo Switch] ,1,1,,2021/11/24
"35,525",G283493784221,4902370549003 ,HAC-P-AX7RA,ポケットモンスター シャイニングパール [Nintendo Switch] ,1,1,,2021/11/24
"35,517",C283493784221,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/11/24
"35,515",B283493784221,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2021/11/24
"34,502",C991989817856,4562412130868 ,HAC-P-A3CRA,宮本算数教室 賢くなるパズル 大全 [Nintendo Switch] ,1,1,,2021/11/10
"34,259",A522522036772,4582528473598 ,PLJS-36175,スーパーロボット大戦30 [PS4] ,1,1,,2021/11/6
"34,361",A289099466460,4902370548501 ,HEG-S-KABAA,Switch (有機ELモデル) HEG-S-KABAA [ネオンブルー・ネオンレッド] ,1,1,,2021/11/3
"33,644",DA0773654428,4974365825270 ,PLJM-16879,バック・フォー・ブラッド [通常版] [PS4] ,1,1,,2021/10/30
"33,631",ACJKRU0B24500225,4571411194382 ,Air 2 Pro A3951N31,Soundcore Liberty Air 2 Pro A3951N31 [ネイビー] イヤホン,1,1,,2021/10/30
"32,969",DA0607721550,4948872016001 ,PCJS-66080,SIE DEATH STRANDING [Value Selection] [PS4] ,1,1,,2021/10/13
"31,831",A522512371010,4582528466576 ,ELJS-20006,バンダイナムコエンターテインメント テイルズ オブ アライズ [通常版] [PS5] ,1,1,,2021/9/17
"31,829",522512371010 ,4582528466576 ,ELJS-20006,バンダイナムコエンターテインメント テイルズ オブ アライズ [通常版] [PS5] ,1,1,,2021/9/17
"31,581",708001321193 ,4571558940057 ,ELJM-30077,Kalypso Media ポートロイヤル4 [PS5] ,1,1,,2021/9/13
